leader_seed,derivative_smiles,MW,logP,HBD,HBA,TPSA,rotb,QED,skin_window,lipinski_viol,AMES,DILI,hERG,BBB_Martins,HIA_Hou,Lipophilicity_AstraZeneca,Solubility_AqSolDB,ClinTox,Carcinogens_Lagunin,Skin_Reaction,CYP3A4_Veith,CYP2C9_Veith,CYP2D6_Veith,HOMO_eV,LUMO_eV,gap_eV,energy_au,score
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1OC,254.2,0.79,2,6,85.2,2,0.759,False,0.0,0.22886136,0.6165404,0.24063876,0.38970962,0.99906224,1.3193681,-1.8508446,0.10578563,0.09239457,0.5492168,0.19320929,0.30196363,0.17267232,-10.388,-6.724,3.665,-57.254337,0.61663278
R12_11,COc1cc(-c2ccc(O)c(OC)c2)ccc1O,246.3,2.78,2,4,58.9,3,0.874,True,,0.5524043,0.69977796,0.50079834,0.53493893,0.9999069,2.7283776,-3.5288615,0.074562736,0.06965843,0.7907545,0.4598337,0.33146968,0.32742226,-9.852,-6.309,3.543,-53.376311,0.616552348
R12_23,COC1Cc2c(O)cc(O)cc2OC1OC,226.2,1.02,2,5,68.2,2,0.788,False,,0.34330177,0.5834454,0.23610444,0.4192934,0.9994961,1.5827539,-1.2904763,0.08804517,0.068978414,0.5450617,0.1302964,0.12428353,0.09818129,-10.329,-5.972,4.357,-51.032658,0.591071771
R12_11,COc1ccc(O)c(-c2ccc(O)c(OC)c2)c1,246.3,2.78,2,4,58.9,3,0.874,True,,0.58744514,0.72631884,0.5635336,0.48798665,0.9999565,2.6669528,-3.4468675,0.06529473,0.052509822,0.79433805,0.6383604,0.39456397,0.38779706,-9.808,-6.378,3.429,-53.372649,0.589511912
R12_11,COC1COc2cc(O)ccc2C1,180.2,1.34,1,3,38.7,1,0.708,False,0.0,0.41261044,0.38460967,0.25681013,0.833502,0.99996173,1.6216307,-1.1980598,0.072025046,0.07912238,0.70163846,0.080843456,0.06534851,0.1564955,-10.015,-5.986,4.028,-39.731443,0.5879633915
R12_11,Oc1ccc2c(c1)OCC(c1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,390.4,4.24,3,5,79.2,2,0.61,False,,0.15042649,0.4603075,0.68989724,0.123054445,0.9999944,3.9427094,-4.418046,0.020797389,0.030003738,0.8429081,0.7472121,0.73996294,0.7276637,-10.094,-6.36,3.733,-82.97809,0.5588464799999999
R13_13,Oc1ccc2c(c1)OCC(C=CCC1COc3cc(O)ccc3C1)C2,338.4,3.85,2,4,58.9,3,0.835,False,0.0,0.29818588,0.34743345,0.7624737,0.4305419,0.9999955,3.825278,-4.273501,0.043728154,0.04379964,0.8724352,0.8041806,0.7106975,0.88567734,-10.01,-5.988,4.022,-72.463967,0.5394344785
R13_13,Oc1ccc2c(c1)OCC(CC=CCC1COc3cc(O)ccc3C1)C2,352.4,4.24,2,4,58.9,4,0.808,False,0.0,0.27623647,0.3281219,0.802149,0.4612577,0.9999973,3.8525872,-4.3802333,0.039824743,0.044253957,0.88140965,0.824365,0.73004043,0.9125434,-9.938,-6.091,3.847,-75.630393,0.538280974
R12_11,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,416.5,4.79,3,5,79.2,3,0.572,False,,0.20411901,0.5039276,0.6610621,0.108231805,0.99999315,4.078755,-4.7279654,0.017800853,0.035325963,0.89193535,0.7652349,0.7584626,0.6953937,-10.05,-6.51,3.54,-88.254664,0.538162737
R12_11,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,416.5,4.79,3,5,79.2,3,0.572,False,,0.22958204,0.48625293,0.6974297,0.13681641,0.99999464,4.0678205,-4.767134,0.021327551,0.03155511,0.88125217,0.79940236,0.74795187,0.752691,-9.839,-6.391,3.449,-88.258334,0.5259015085000001
R12_23,COC1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,508.5,3.4,5,9,138.1,3,0.36,False,1.0,0.06385691,0.6339393,0.741437,0.039776452,0.99998266,3.3668804,-3.3041863,0.027720261,0.013790982,0.52770007,0.85128355,0.7824462,0.6496683,-9.916,-5.998,3.918,-110.88941,0.523464632
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,536.5,3.18,5,10,155.1,3,0.315,False,1.0,0.049735323,0.67527324,0.7160848,0.03829803,0.99998283,3.2371528,-3.6812484,0.025892448,0.020948898,0.5599574,0.9131875,0.8966935,0.7495351,-10.098,-7.203,2.895,-117.123419,0.5220714571
R12_11,COc1ccc(O)c(-c2cc(OC)ccc2O)c1,246.3,2.78,2,4,58.9,3,0.874,True,,0.73578036,0.7933026,0.63844347,0.53635776,0.9999863,2.8843367,-3.5663247,0.061970793,0.04304295,0.79870903,0.80511653,0.46524543,0.42118096,-10.071,-6.669,3.402,-53.373576,0.519981808
R12_11,COc1cc(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)ccc1O,364.4,4.2,3,5,79.2,3,0.649,False,,0.31105042,0.67626095,0.61672217,0.13773963,0.9999703,3.7363868,-4.5828466,0.029072443,0.047266867,0.86635,0.6495711,0.67149657,0.5158464,-9.83,-6.361,3.469,-77.660981,0.49680129750000007
R12_11,COc1cc(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)ccc1O,364.4,4.2,3,5,79.2,3,0.649,False,,0.31707376,0.6652323,0.6667819,0.17633718,0.99998,3.6156135,-4.4859986,0.032778442,0.03880337,0.83804387,0.72381663,0.69024974,0.5908528,-9.788,-6.435,3.353,-77.655763,0.48663664700000003
R12_11,COc1ccc(O)c(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)c1,364.4,4.2,3,5,79.2,3,0.649,False,,0.33092934,0.69600594,0.63873017,0.12433312,0.99998635,3.7447426,-4.495395,0.024680117,0.03793269,0.866714,0.7368324,0.69717777,0.5383746,-9.753,-6.432,3.322,-77.64893,0.48347427299999995
R12_11,COc1ccc(O)c(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)c1,364.4,4.2,3,5,79.2,3,0.649,False,,0.44300452,0.7278005,0.70172805,0.18309209,0.9999933,3.7738843,-4.5619507,0.029118946,0.033116806,0.84211445,0.8238184,0.72110844,0.57870543,-9.886,-6.65,3.236,-77.6553,0.43248295900000006
R12_11,COc1cc(-c2ccc(O)c(-c3ccc(O)c(OC)c3)c2)ccc1O,338.4,4.15,3,5,79.2,4,0.666,False,,0.59018517,0.863763,0.59608823,0.207131,0.9999156,3.3472066,-4.626176,0.047046464,0.058937617,0.8643325,0.5959811,0.46094704,0.35086164,-9.854,-6.404,3.45,-72.332752,0.39076235299999995
R12_11,COc1ccc(O)c(-c2ccc(O)c(-c3ccc(O)c(OC)c3)c2)c1,338.4,4.15,3,5,79.2,4,0.666,False,,0.6016797,0.87208474,0.6304312,0.18411192,0.9999563,3.3557498,-4.574134,0.037836086,0.048100848,0.864823,0.7125081,0.5119071,0.38831568,-9.876,-6.594,3.282,-72.333008,0.37919713899999996
R12_11,COc1ccc(O)c(-c2cc(-c3ccc(O)c(OC)c3)ccc2O)c1,338.4,4.15,3,5,79.2,4,0.666,False,,0.6949233,0.8978119,0.6355619,0.21853225,0.99996585,3.5377,-4.7173605,0.038999718,0.050655406,0.87024814,0.71017265,0.49667984,0.35970905,-10.032,-6.711,3.321,-72.334089,0.346338845
R12_11,COc1ccc(O)c(-c2ccc(O)c(-c3cc(OC)ccc3O)c2)c1,338.4,4.15,3,5,79.2,4,0.666,False,,0.6964324,0.90139544,0.661793,0.19068587,0.9999835,3.5410583,-4.670394,0.03244757,0.040507935,0.8666843,0.79712033,0.54588854,0.3945998,-9.723,-6.576,3.146,-72.329481,0.34010236400000005
