leader_seed,derivative_smiles,MW,logP,HBD,HBA,TPSA,rotb,QED,lipinski_viol,skin_window
R14_5,COc1cc(-c2ccc(O)c(-c3ccc(O)c(OC)c3)c2)ccc1O,338.4,4.15,3,5,79.2,4,0.666,0,False
R14_5,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,298.3,3.37,2,4,58.9,3,0.912,0,True
R14_5,COc1cc(-c2cc(C3COc4cc(O)ccc4C3)ccc2O)ccc1O,364.4,4.2,3,5,79.2,3,0.649,0,False
R14_5,Oc1ccc2c(c1)OCC(C=CC1COc3cc(O)ccc3C1)C2,324.4,3.46,2,4,58.9,2,0.831,0,True
R14_5,Oc1ccc2c(c1)OCC(C=Cc1cc(C3COc4cc(O)ccc4C3)ccc1O)C2,416.5,4.79,3,5,79.2,3,0.572,0,False
R14_5,Oc1ccc2c(c1)OCC(C=Cc1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,416.5,4.79,3,5,79.2,3,0.572,0,False
R14_5,Oc1ccc2c(c1)OCC(c1ccc(O)c(C3COc4cc(O)ccc4C3)c1)C2,390.4,4.24,3,5,79.2,2,0.61,0,False
R13_13,CC(C)=CC1COc2cc(O)ccc2C1,204.3,2.91,1,2,29.5,1,0.713,0,True
R13_13,Oc1ccc2c(c1)OCC(C=CC1COc3cc(O)ccc3C1)C2,324.4,3.46,2,4,58.9,2,0.831,0,True
R13_13,Oc1ccc2c(c1)OCC(C=CCC1COc3cc(O)ccc3C1)C2,338.4,3.85,2,4,58.9,3,0.835,0,False
R13_13,CC(C)=CCC1COc2cc(O)ccc2C1,218.3,3.3,1,2,29.5,2,0.772,0,True
R13_13,Oc1ccc2c(c1)OCC(CC=CCC1COc3cc(O)ccc3C1)C2,352.4,4.24,2,4,58.9,4,0.808,0,False
