smiles,score,hERG,Skin_Reaction,gp_mean,gp_std,acquisition_score
CCCCCCCCC1=C(O)C(=O)C(C)C1=O,0.752563736214724,0.24003199,0.79929763,0.19090876666666667,0.02806548579062278,-0.13477779508542112
CCCCCCCC1=C(O)C(=O)C(C)(C)C(=O)C1=O,0.8147079197444439,0.19101287,0.7268108,0.19090876666666667,0.02806548579062278,-0.13477779508542112
CCCCCC1=C(O)C(=O)C(=O)C(C)=C1O,0.8405278086358949,0.1693557,0.7039266,0.19090876666666667,0.02806548579062278,-0.13477779508542112
CCCCCC1=C(O)C(=O)C(C)=C(O)C1=O,0.8366862239488807,0.16729693,0.7325246,0.19090876666666667,0.02806548579062278,-0.13477779508542112
COCCCCCCCC1=C(O)C(=O)C(C)C1=O,0.8362647580296905,0.21412186,0.7257782,0.19090876666666667,0.02806548579062278,-0.13477779508542112
