parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed,topical_score
Embelin,COc1cc(C2Oc3cc(O)cc(O)c3CC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
Embelin,COc1cc(C2Cc3c(O)cc(O)cc3OC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
Curcumin,COc1cc(C2Oc3cc(O)cc(O)c3CC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
EGCG,COc1cc(C2Oc3cc(O)cc(O)c3CC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
Asiaticoside,COc1cc(C2Oc3cc(O)cc(O)c3CC2OC)ccc1O,318.32500000000005,2.503200000000001,3,6,88.38000000000001,0.8056840314953502,0.8035506981620162
EGCG,COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Curcumin,COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Curcumin,COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Glabridin,COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Asiaticoside,COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Embelin,COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Embelin,COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Asiaticoside,COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
EMB-3,COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
EGCG,COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
Glabridin,COC(=O)c1ccc(O)c(-c2cc(OC)ccc2O)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152,0.8011440160189148
EGCG,COC(=O)c1cc(-c2cc(OC)ccc2O)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Curcumin,COC(=O)c1cc(-c2cc(OC)ccc2O)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
Curcumin,COC(=O)c1cc(-c2ccc(O)c(OC)c2)ccc1O,274.272,2.560000000000001,2,5,75.99000000000001,0.8411440160189152,0.8011440160189146
