variant_smiles,max_sim_to_known,mean_sim_to_known,parent,mw,logp,hbd,hba,tpsa,qed,topical_score
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,EGCG,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,EMB-3,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,Asiaticoside,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,Curcumin,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,Glabridin,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,Embelin,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,EGCG,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,EMB-3,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,Asiaticoside,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
COc1cc(OC2COc3cc(O)ccc3C2)ccc1O,0.36666666666666664,0.13517143886975275,Curcumin,288.29900000000004,2.488900000000001,2,5,68.15,0.9078777774164212,0.9004777774164219
