parent,variant_smiles,mw,logp,hbd,hba,tpsa,qed
EMB-3,COC(=O)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2C2COc3cc(O)ccc3C2)c1,464.47000000000025,3.6342000000000025,4,8,125.68000000000002,0.43317301630749794
EMB-3,COC(=O)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2CO)c1,346.3350000000001,1.6695999999999998,4,7,116.45000000000002,0.6246900384325527
EMB-3,C=CC(C)(C)C1Oc2cc(O)cc(O)c2CC1c1cc(C(=O)OC)ccc1O,384.4280000000001,3.889500000000003,3,6,96.22,0.5466766502502283
EMB-3,COC(=O)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2c2cc(O)c(O)c(O)c2)c1,440.40400000000017,3.166800000000001,6,9,156.91,0.2658127046276076
EMB-3,COC(=O)c1ccc(O)c(C2Cc3c(O)cc(O)cc3OC2OC)c1,346.3350000000001,2.2812,3,7,105.45000000000002,0.7322413883073323
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(CO)c(O)c2O)c1,290.271,1.7493,4,6,107.22000000000001,0.5065250945474429
EMB-3,C=CC(C)(C)c1ccc(-c2cc(C(=O)OC)ccc2O)c(O)c1O,328.36400000000003,3.7206000000000037,3,5,86.99000000000001,0.452214228660269
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(OC)c(O)c2O)c1,290.271,2.265600000000001,3,6,96.22000000000001,0.5924779094527449
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(-c3cc(O)c(O)c(O)c3)c(O)c2O)c1,384.3400000000001,3.040800000000001,6,8,147.68,0.29816744763916436
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(C3COc4cc(O)ccc4C3)c(O)c2O)c1,408.4060000000001,3.681300000000002,4,7,116.45000000000002,0.38580012082978005
EMB-3,COC(=O)c1ccc(O)c(Oc2cc(O)c(O)c(O)c2)c1,292.243,2.0879000000000003,4,7,116.45000000000002,0.5051924729145075
EMB-3,COC(=O)c1ccc(O)c(OC2COc3cc(O)ccc3C2)c1,316.309,2.2669000000000006,2,6,85.22000000000001,0.845019037685698
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(O)c(-c3cc(O)c(O)c(O)c3)c2)c1,368.34100000000007,3.3352000000000013,5,7,127.45000000000002,0.3542831575802422
EMB-3,C=CC(C)(C)c1cc(-c2cc(C(=O)OC)ccc2O)ccc1O,312.365,4.015000000000004,2,4,66.76,0.6608907657201966
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(O)c(OC)c2)c1,274.272,2.5600000000000005,2,5,75.99000000000001,0.8411440160189152
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(O)c(CO)c2)c1,274.272,2.0436999999999994,3,5,86.99000000000001,0.7455174942832492
EMB-3,COC(=O)c1ccc(O)c(-c2ccc(O)c(C3COc4cc(O)ccc4C3)c2)c1,392.40700000000015,3.9757000000000025,3,6,96.22000000000001,0.5837795321832102
EMB-3,COC(=O)c1ccc(O)c(OC)c1,182.17499999999998,1.1874,1,4,55.760000000000005,0.6977272813011113
EMB-3,COc1cc(C(=O)OC2COc3cc(O)ccc3C2)ccc1O,316.309,2.266900000000001,2,6,85.22000000000001,0.845019037685698
EMB-3,COc1cc(C(=O)Oc2cc(O)c(O)c(O)c2)ccc1O,292.24300000000005,1.7368000000000001,4,7,116.45000000000002,0.3864939136757816
