smiles,smiles_canon,score,tanimoto_to_seed,MW,logP,HBD,HBA,TPSA,hERG,Skin_Reaction,AMES,ClinTox,Solubility_AqSolDB,Bioavailability_Ma
CCOC(=O)CC/C(=C/c1ccc(O)c(OC)c1)C(C)=O,CCOC(=O)CC/C(=C/c1ccc(O)c(OC)c1)C(C)=O,0.7164762378464091,0.3469387755102041,292.3310000000001,2.716500000000001,1,5,72.83000000000001,0.29459414,0.6659379,0.36258194,0.10131161,-3.4101193,0.828118
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)cc(OC)c1OCCO,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)cc(OC)c1OCCO,0.6683612350909008,0.6736842105263158,412.4380000000002,3.0354000000000014,2,7,102.29000000000002,0.28016526,0.7209433,0.39199182,0.059197307,-4.6417646,0.6271488
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccnc2)ccc1O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccnc2)ccc1O,0.6558955380287729,0.6436781609195402,323.348,3.050700000000002,1,5,76.49000000000001,0.36429054,0.6830173,0.34752232,0.099833034,-4.175367,0.63652265
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OCCO)c(OC)c2)ccc1O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OCCO)c(OC)c2)ccc1O,0.6544220276585881,0.7865168539325843,412.4380000000002,3.0354000000000014,2,7,102.29000000000002,0.34087533,0.6810321,0.4867789,0.08674847,-4.7544146,0.6809235
COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(OCCO)c2OC)ccc1O,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(OCCO)c2OC)ccc1O,0.6478399515766428,0.65625,412.4380000000002,3.0354000000000023,2,7,102.29000000000002,0.3532886,0.7234308,0.43392316,0.07032543,-4.538924,0.6374165
COc1cc(/C=C/C(=O)/C=C/c2ccc(OCCO)cc2OC)ccc1O,COc1cc(/C=C/C(=O)/C=C/c2ccc(OCCO)cc2OC)ccc1O,0.6318931568481412,0.5567010309278351,370.40100000000007,3.0762000000000023,2,6,85.22000000000001,0.3812463,0.7316626,0.46459454,0.0822417,-4.6355677,0.6683202
