compound,target,boltz2_prob_binary,chai1_mean_score,chai1_max_score,agreement
EMB-3,TGFB1,0.749,0.24468792974948883,0.24854956567287445,STRONG_DISAGREE
EMB-3,MMP1,0.674,0.6959023475646973,0.719670295715332,STRONG_AGREE
Oxyresveratrol,TYR,0.7500531673431396,0.4687612473964691,0.47112125158309937,MODERATE_DISAGREE
Baicalein,AR,0.8198989629745483,0.1450446754693985,0.14630143344402313,STRONG_DISAGREE
EMB-3,SIRT1,0.632,0.20551530122756959,0.2089339941740036,STRONG_DISAGREE
Emodin,AR,0.7681165933609009,0.14551804661750795,0.14972054958343506,STRONG_DISAGREE
