indication,indication_label,target_symbol,target_name,ot_score,emb3_affinity
IPF,Idiopathic pulmonary fibrosis (IPF),FGFR1,fibroblast growth factor receptor 1,0.5929891312023431,
IPF,Idiopathic pulmonary fibrosis (IPF),FLT1,fms related receptor tyrosine kinase 1,0.5924039630990924,
IPF,Idiopathic pulmonary fibrosis (IPF),FGFR2,fibroblast growth factor receptor 2,0.5917417991927822,
IPF,Idiopathic pulmonary fibrosis (IPF),PDGFRA,platelet derived growth factor receptor alpha,0.5905494076752594,
IPF,Idiopathic pulmonary fibrosis (IPF),FGFR4,fibroblast growth factor receptor 4,0.5897982711319592,
IPF,Idiopathic pulmonary fibrosis (IPF),KDR,kinase insert domain receptor,0.5887546681286331,
IPF,Idiopathic pulmonary fibrosis (IPF),NR3C1,nuclear receptor subfamily 3 group C member 1,0.5872810497521164,
IPF,Idiopathic pulmonary fibrosis (IPF),FGFR3,fibroblast growth factor receptor 3,0.586102472585112,
IPF,Idiopathic pulmonary fibrosis (IPF),FLT4,fms related receptor tyrosine kinase 4,0.5851785229484003,
IPF,Idiopathic pulmonary fibrosis (IPF),FAM13A,family with sequence similarity 13 member A,0.5646060861967218,
IPF,Idiopathic pulmonary fibrosis (IPF),MUC5AC,"mucin 5AC, oligomeric mucus/gel-forming",0.51077231440644,
IPF,Idiopathic pulmonary fibrosis (IPF),SPDL1,spindle apparatus coiled-coil protein 1,0.5058559959195272,
IPF,Idiopathic pulmonary fibrosis (IPF),IFNGR2,interferon gamma receptor 2,0.4436241519600743,
IPF,Idiopathic pulmonary fibrosis (IPF),IFNGR1,interferon gamma receptor 1,0.44283879476886934,
IPF,Idiopathic pulmonary fibrosis (IPF),ACTRT3,actin related protein T3,0.43247013818828367,
IPF,Idiopathic pulmonary fibrosis (IPF),DPP9,dipeptidyl peptidase 9,0.41514207477529885,
IPF,Idiopathic pulmonary fibrosis (IPF),AKAP13,A-kinase anchoring protein 13,0.40429105319257,
IPF,Idiopathic pulmonary fibrosis (IPF),ABCA3,ATP binding cassette subfamily A member 3,0.4036147156724545,
IPF,Idiopathic pulmonary fibrosis (IPF),TNFRSF6B,TNF receptor superfamily member 6b,0.401710325053845,
IPF,Idiopathic pulmonary fibrosis (IPF),SFTPC,surfactant protein C,0.3804920332973415,
IPF,Idiopathic pulmonary fibrosis (IPF),EDNRB,endothelin receptor type B,0.3775717047736745,
IPF,Idiopathic pulmonary fibrosis (IPF),EDNRA,endothelin receptor type A,0.3738404850147344,
IPF,Idiopathic pulmonary fibrosis (IPF),TOLLIP,toll interacting protein,0.3736085107849951,
