leader,smiles,vehicle,occluded,logKp_cms,flux_ss_ug_cm2_h,lag_time_h,cum_24h_ug_cm2,dermis_conc_ug_cm3,bioavailability_topical,available
R12_4,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,ointment,True,-3.404257300000001,141.92052229137747,0.6258230819034363,1046.5470396852845,166.6666666666667,1.0,True
R12_4,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,cream,False,-3.404257300000001,99.34436560396422,0.6258230819034363,732.5829277796992,116.66666666666669,1.0,True
R12_4,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,gel,False,-3.404257300000001,120.63244394767084,0.6258230819034363,889.5649837324918,141.66666666666669,1.0,True
R12_4,OCC1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,aqueous,False,-3.404257300000001,70.96026114568873,0.6258230819034363,523.2735198426423,83.33333333333336,1.0,True
R12_11,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,ointment,True,-2.126522799999999,2690.169848315514,1.512766598948613,17451.759694493747,166.6666666666667,1.0,True
R12_11,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,cream,False,-2.126522799999999,1883.11889382086,1.512766598948613,12216.231786145623,116.66666666666669,1.0,True
R12_11,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,gel,False,-2.126522799999999,2286.6443710681874,1.512766598948613,14833.995740319688,141.66666666666669,1.0,True
R12_11,COc1ccc(O)c(C=CC2COc3cc(O)ccc3C2)c1,aqueous,False,-2.126522799999999,1345.084924157757,1.512766598948613,8725.879847246873,83.33333333333336,1.0,True
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,ointment,True,-3.446821300000001,128.6711554155994,0.6076904018663255,951.1770171816852,166.6666666666667,1.0,True
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,cream,False,-3.446821300000001,90.0698087909196,0.6076904018663255,665.8239120271797,116.66666666666669,1.0,True
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,gel,False,-3.446821300000001,109.3704821032595,0.6076904018663255,808.5004646044325,141.66666666666669,1.0,True
R12_23,COC(=O)C1Cc2c(O)cc(O)cc2OC1C1COc2cc(O)ccc2C1,aqueous,False,-3.446821300000001,64.3355777077997,0.6076904018663255,475.5885085908426,83.33333333333336,1.0,True
R14_5,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,ointment,True,-2.126522799999999,2690.169848315514,1.512766598948613,17451.759694493747,166.6666666666667,1.0,True
R14_5,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,cream,False,-2.126522799999999,1883.11889382086,1.512766598948613,12216.231786145623,116.66666666666669,1.0,True
R14_5,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,gel,False,-2.126522799999999,2286.6443710681874,1.512766598948613,14833.995740319688,141.66666666666669,1.0,True
R14_5,COc1cc(C=CC2COc3cc(O)ccc3C2)ccc1O,aqueous,False,-2.126522799999999,1345.084924157757,1.512766598948613,8725.879847246873,83.33333333333336,1.0,True
R13_13,CC(C)=CCc1cc(O)c(O)c(O)c1C=CC1COc2cc(O)ccc2C1,ointment,True,-1.9070548999999986,4459.103991975396,1.760403798388051,27823.00833092236,166.6666666666667,1.0,True
R13_13,CC(C)=CCc1cc(O)c(O)c(O)c1C=CC1COc2cc(O)ccc2C1,cream,False,-1.9070548999999986,3121.3727943827776,1.760403798388051,19476.105831645655,116.66666666666669,1.0,True
R13_13,CC(C)=CCc1cc(O)c(O)c(O)c1C=CC1COc2cc(O)ccc2C1,gel,False,-1.9070548999999986,3790.238393179087,1.760403798388051,23649.55708128401,141.66666666666669,1.0,True
R13_13,CC(C)=CCc1cc(O)c(O)c(O)c1C=CC1COc2cc(O)ccc2C1,aqueous,False,-1.9070548999999986,2229.551995987698,1.760403798388051,13911.50416546118,83.33333333333336,1.0,True
