plant,lotus_id,wikidata_id,name,smiles,inchikey,molecular_formula,MW,n_atoms,n_rings,npl_score
Morus alba,LTS0070044,Q105217902,steppogenin,O=C1CC(c2ccc(O)cc2O)Oc2cc(O)cc(O)c21,QBLQLKNOKUHRCH-UHFFFAOYSA-N,C15H12O6,288.2527570631458,21,4,1.0223156369628004
Morus alba,LTS0024633,Q105243431,"(2s)-2-{5-[(2e)-3,7-dimethylocta-2,6-dien-1-yl]-2,4-dihydroxyphenyl}-5,7-dihydroxy-8-(3-methylbut-2-en-1-yl)-2,3-dihydro-1-benzopyran-4-one",CC(C)=CCCC(C)=CCc1cc(C2CC(=O)c3c(O)cc(O)c(CC=C(C)C)c3O2)c(O)cc1O,RQNHUILOWYPVJI-ZMHZFAHUSA-N,C30H36O6,492.6043736067847,36,4,1.0130174548949666
Morus alba,LTS0041106,Q104972141,"2-(3-{6-[2,4-dihydroxy-3-(3-methylbut-2-en-1-yl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl}-2,4-dihydroxyphenyl)-5,7-dihydroxy-3-(3-methylbut-2-en-1-yl)chromen-4-one",CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)ccc(-c4oc5cc(O)cc(O)c5c(=O)c4CC=C(C)C)c3O)C=C(C)CC2c2ccc(O)cc2O)c1O,CXUHGCSDLOBMKG-UHFFFAOYSA-N,C45H44O11,760.8259627270577,56,7,1.00836836386105
Morus alba,LTS0017227,Q105146711,"2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-8-(3,7,11-trimethyldodeca-2,6,10-trien-1-yl)chromen-4-one",CC(C)=CCCC(C)=CCCC(C)=CCc1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3O)oc12,KVTGJUFKNDYOTO-UHFFFAOYSA-N,C30H34O6,490.58849209913313,36,4,1.0
Morus alba,LTS0072803,Q105180960,"4-{10-hydroxy-5,13-dioxatricyclo[7.4.0.0²,⁶]trideca-1,6,8-trien-12-yl}benzene-1,3-diol",Oc1ccc(C2CC(O)c3ccc4c(c3O2)CCO4)c(O)c1,NKSQFDREVYRDSD-UHFFFAOYSA-N,C17H16O5,300.3065869444556,22,7,1.0
Morus alba,LTS0202455,Q105138072,"(2e)-1-{3-[(1s,5s,6r)-6-[2,4-dihydroxy-3-(3-methylbut-2-en-1-yl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-2,4-dihydroxyphenyl}-3-(2,4-dihydroxyphenyl)prop-2-en-1-one",CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)ccc(C(=O)C=Cc4ccc(O)cc4O)c3O)C=C(C)CC2c2ccc(O)cc2O)c1O,KBAPHKOHTBBCTO-JZHBEADGSA-N,C40H38O10,678.7252337925937,50,5,1.0187451350487522
Morus alba,LTS0089734,Q105225260,"(2s)-5,7-dihydroxy-2-(5-hydroxy-2,2-dimethylchromen-8-yl)-2,3-dihydro-1-benzopyran-4-one",CC1(C)C=Cc2c(O)ccc(C3CC(=O)c4c(O)cc(O)cc4O3)c2O1,QPAKXSCQEJXHSW-INIZCTEOSA-N,C20H18O6,354.3540810700406,26,6,1.018024168316108
Morus alba,LTS0160899,Q105298904,"(3r)-3-hydroxy-12-[(2s,5s)-5-[(1s)-1-hydroxyethyl]pyrrolidin-2-yl]dodecanoic acid",CC(O)C1CCC(CCCCCCCCCC(O)CC(=O)O)N1,VYEFYAVFLNSXSK-NXOAAHMSSA-N,C18H35NO4,329.47549544340023,23,1,1.2621634475166574
Morus alba,LTS0068040,Q104992964,"(2s)-2-(2,4-dihydroxyphenyl)-5-hydroxy-8-methyl-8-(4-methylpent-3-en-1-yl)-2h,3h-pyrano[3,2-g]chromen-4-one",CC(C)=CCCC1(C)C=Cc2c(cc3c(c2O)C(=O)CC(c2ccc(O)cc2O)O3)O1,FBVQKNJIYRJQBU-JINQPTGOSA-N,C25H26O6,422.47128658458684,31,7,1.015117044394155
Morus alba,LTS0111853,Q105156810,"(2e)-1-{3-[(1r,5r,6s)-6-[2,4-dihydroxy-3-(3-methylbut-2-en-1-yl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-2,4-dihydroxyphenyl}-3-(4-hydroxyphenyl)prop-2-en-1-one",CC(C)=CCc1c(O)ccc(C(=O)C2C(c3c(O)ccc(C(=O)C=Cc4ccc(O)cc4)c3O)C=C(C)CC2c2ccc(O)cc2O)c1O,LSWPUMCBBKEXMW-WGAWTAOUSA-N,C40H38O9,662.7258288650243,49,5,1.0191276888252574
Morus alba,LTS0114243,Q105347603,1-hydroxy-3-(octacosanoyloxy)propan-2-yl octacosanoate,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCC,YFICNBBIYKTBLK-UHFFFAOYSA-N,C59H116O5,905.5515699921303,64,0,1.0048015794832692
Morus alba,LTS0180993,Q83002099,"2-(2,4-dihydroxyphenyl)-8-[2-(2,4-dihydroxyphenyl)-5-hydroxy-9,9,11-trimethyl-3-(3-methylbut-2-en-1-yl)-4-oxo-8h,8ah,10h,12ah-chromeno[7,8-c]isochromen-8-yl]-5,7-dihydroxy-3-(3-methylbut-2-en-1-yl)chromen-4-one",CC(C)=CCc1c(-c2ccc(O)cc2O)oc2c3c(cc(O)c2c1=O)OC(c1c(O)cc(O)c2c(=O)c(CC=C(C)C)c(-c4ccc(O)cc4O)oc12)C1C3C=C(C)CC1(C)C,YWQPZNOGOSHEGB-UHFFFAOYSA-N,C50H48O12,840.9108101538703,62,15,1.0
