drug,pIC50_approx,affinity_probability_binary
Erlotinib,7.702394485473633,0.7814996838569641
Dacomitinib,8.69434404373169,0.7782354354858398
Afatinib,8.703779697418213,0.7413102388381958
Gefitinib,7.4752726554870605,0.7268179655075073
Osimertinib,7.728510856628418,0.38635993003845215
