compound,MMP1,TGFB1,mean
r2_1,0.44976234436035156,0.6838761568069458,0.5668192505836487
r2_2,0.5139603614807129,0.6184400916099548,0.5662002265453339
r2_3,0.4533579349517822,0.5459124445915222,0.4996351897716522
