efo,disease,symbol,ensembl,score
EFO_0009566,renal_interstitial_fibrosis,IFT140,ENSG00000187535,0.8590046824213828
EFO_0009566,renal_interstitial_fibrosis,SLC3A1,ENSG00000138079,0.8587985453747372
EFO_0009566,renal_interstitial_fibrosis,SLC12A3,ENSG00000070915,0.8578714342906714
EFO_0009566,renal_interstitial_fibrosis,CLCN5,ENSG00000171365,0.8558254658221576
EFO_0009566,renal_interstitial_fibrosis,SLC7A9,ENSG00000021488,0.8557276132474566
EFO_0009566,renal_interstitial_fibrosis,NPHP1,ENSG00000144061,0.8540085734079517
EFO_0009566,renal_interstitial_fibrosis,IFT172,ENSG00000138002,0.850274936092722
EFO_0009566,renal_interstitial_fibrosis,TTC21B,ENSG00000123607,0.8485718076963821
EFO_0009566,renal_interstitial_fibrosis,BSND,ENSG00000162399,0.8468478256438455
EFO_0009566,renal_interstitial_fibrosis,CLDN16,ENSG00000113946,0.8409967341380028
EFO_0009566,renal_interstitial_fibrosis,AQP2,ENSG00000167580,0.840320653752766
EFO_0009566,renal_interstitial_fibrosis,IFT122,ENSG00000163913,0.8402311892919537
EFO_0009566,renal_interstitial_fibrosis,KCNJ10,ENSG00000177807,0.8367414265252804
EFO_0009566,renal_interstitial_fibrosis,CLCNKB,ENSG00000184908,0.8321332479342843
EFO_0009566,renal_interstitial_fibrosis,CEP290,ENSG00000198707,0.8285307714639546
EFO_0009566,renal_interstitial_fibrosis,WDR35,ENSG00000118965,0.8270041301413823
EFO_0009566,renal_interstitial_fibrosis,CEP164,ENSG00000110274,0.8234334631355307
EFO_0009566,renal_interstitial_fibrosis,INVS,ENSG00000119509,0.8220464678668695
EFO_0009566,renal_interstitial_fibrosis,SDCCAG8,ENSG00000054282,0.816972083437949
EFO_0009566,renal_interstitial_fibrosis,EVC,ENSG00000072840,0.8151359890345057
EFO_0009566,renal_interstitial_fibrosis,SLC4A4,ENSG00000080493,0.8130682874646458
EFO_0009566,renal_interstitial_fibrosis,CLDN19,ENSG00000164007,0.8128111023824496
EFO_0009566,renal_interstitial_fibrosis,NEK1,ENSG00000137601,0.809512189434217
EFO_0008502,hepatic_fibrosis,ATP4B,ENSG00000186009,0.04656706169027242
EFO_0008502,hepatic_fibrosis,CBLIF,ENSG00000134812,0.043174318624266864
EFO_0008502,hepatic_fibrosis,GKN1,ENSG00000169605,0.04244255051199115
EFO_0008502,hepatic_fibrosis,ATP4A,ENSG00000105675,0.03951547806288832
EFO_0008502,hepatic_fibrosis,LIPF,ENSG00000182333,0.035856637501509775
EFO_0008502,hepatic_fibrosis,PGC,ENSG00000096088,0.03000249260330409
EFO_0008502,hepatic_fibrosis,FUT9,ENSG00000172461,0.029270724491028383
EFO_0008502,hepatic_fibrosis,AKR1B10,ENSG00000198074,0.027807188266476962
EFO_0008502,hepatic_fibrosis,TFF1,ENSG00000160182,0.027075420154201255
EFO_0008502,hepatic_fibrosis,TFF2,ENSG00000160181,0.026343652041925545
EFO_0008502,hepatic_fibrosis,CHIA,ENSG00000134216,0.02561188392964983
EFO_0008502,hepatic_fibrosis,KCNE2,ENSG00000159197,0.02561188392964983
