,Beta-Sitosterol,Hyperforin,Lupeol,Oleanolic acid,Betulinic acid,Ursolic acid,Bakuchiol,Retinol,Tretinoin,Epimedin C,Rapanone,Bisabolol,Tetrahydroxystilbene glucoside,Calendulin,Honokiol,Embelin,5-O-methyl-Embelin,Tanshinone IIA,Magnolol,Imperatorin,Licochalcone A,Hexylresorcinol,3-decyl-2-5-dihydroxy-benzoquinone,alpha-Arbutin,Carnosic acid,Carnosol,Eucalyptol,Pterostilbene,Linalool,Glabridin,Tea tree oil terpinen-4-ol,Capsaicin,Menthol,Kazinol B,Schizandrin A,Resveratrol,Cryptotanshinone,Formononetin,Asiatic acid,Daidzein,Oxyresveratrol,Calycosin,Wogonin,EMB-3,4-n-butylresorcinol,Azelaic acid,Genistein,Baicalein,Apigenin,Berberine,Curcumin,Paeonol,Naringenin,Acetylshikonin,Hydroquinone,Palmatine,Biochanin A,Phloretin,Salicylic acid,2-hydroxy-naphthoquinone,Ferulic acid,Physcion,Tyrosol,Sulforaphane,Spirulina-derived phycocyanin,Asiaticoside,Madecassic acid,Caffeic acid,Shikonin,Emodin,Thujin,Quercetin,Finasteride,Withaferin A,Hydroxytyrosol,Niacinamide,Rhein,Epicatechin,Aloe-emodin,Andrographolide,Ellagic acid,Epigallocatechin,Kojic acid,4-Methoxyresorcinol,EGCG,Silymarin,Procyanidin B2,Marimastat,Avenanthramide B,Theaflavin,Salvianolic acid B,Polydatin,Byakangelicin,Mulberroside A,Liquiritin,Ascorbic acid,Allantoin from Symphytum,Allantoin,Chlorogenic acid,Baicalin,Puerarin,Arbutin,Phloridzin,Salidroside,Aloin,Geniposide,Mangiferin,Saponin Re,Ginsenoside Rg1,Ginsenoside Rg3,Madecassoside,Sennoside A,Mogroside V,Glycyrrhizin,Icariin,Saikosaponin A,Hesperidin,Acteoside (Verbascoside),Paeoniflorin,Avenanthramide A,Punicalagin,Astragaloside IV,Ginsenoside Rb1,Crocin
Rapanone,0.08,0.12162162,0.042857144,0.06849315,0.054054055,0.06666667,0.10526316,0.07936508,0.07936508,0.054054055,1.0,0.084745765,0.09259259,0.125,0.11111111,0.7058824,0.55,0.13333334,0.05882353,0.11290322,0.08955224,0.375,0.7058824,0.23529412,0.09090909,0.10606061,0.02173913,0.125,0.0625,0.07042254,0.08163265,0.121212125,0.041666668,0.11940298,0.06349207,0.11627907,0.14285715,0.118644066,0.07594936,0.11320755,0.104166664,0.11290322,0.118644066,0.5277778,0.083333336,0.1388889,0.10909091,0.10909091,0.11111111,0.056338027,0.13207547,0.125,0.10526316,0.14,0.121212125,0.057142857,0.13114753,0.14285715,0.11904762,0.1590909,0.11320755,0.15686275,0.15,0.10638298,0.093333334,0.074074075,0.074074075,0.104166664,0.20754717,0.17021276,0.12244898,0.10526316,0.07042254,0.093023255,0.13953489,0.08510638,0.13207547,0.06666667,0.15384616,0.08108108,0.13043478,0.06896552,0.1590909,0.125,0.092307694,0.10666667,0.05479452,0.06779661,0.050632913,0.08571429,0.074074075,0.09375,0.07575758,0.08219178,0.0945946,0.14583333,0.08163265,0.08163265,0.0882353,0.08219178,0.1,0.09090909,0.1,0.10344828,0.11940298,0.08108108,0.10606061,0.041237112,0.04347826,0.041666668,0.054054055,0.10810811,0.0952381,0.07446808,0.08888889,0.03883495,0.09195402,0.093023255,0.07058824,0.07058824,0.040816326,0.04,0.03883495,0.057142857
Bisabolol,0.14473684,0.17105263,0.112676054,0.13513513,0.09090909,0.13157895,0.32692307,0.17460318,0.13846155,0.07692308,0.084745765,1.0,0.12068965,0.15,0.08196721,0.084745765,0.07936508,0.0882353,0.09090909,0.15384616,0.112676054,0.08928572,0.084745765,0.04347826,0.14705883,0.112676054,0.08163265,0.11111111,0.3902439,0.078947365,0.20408164,0.09589041,0.12,0.17391305,0.08955224,0.10204082,0.114285715,0.05882353,0.1375,0.048387095,0.09259259,0.056338027,0.05882353,0.08928572,0.074074075,0.044444446,0.046875,0.046875,0.04761905,0.065789476,0.13793103,0.11111111,0.078125,0.10526316,0.075,0.05263158,0.08695652,0.06896552,0.06,0.055555556,0.12068965,0.083333336,0.083333336,0.035714287,0.04761905,0.13414635,0.13414635,0.11320755,0.16666667,0.08928572,0.05172414,0.045454547,0.12328767,0.11111111,0.078431375,0.055555556,0.04761905,0.09375,0.06451613,0.13157895,0.054545455,0.09677419,0.0754717,0.09090909,0.06944445,0.085365854,0.077922076,0.078125,0.085365854,0.078947365,0.08139535,0.13432837,0.11594203,0.103896104,0.0875,0.08928572,0.05357143,0.05357143,0.12676056,0.07594936,0.077922076,0.1,0.09210526,0.09375,0.08,0.13157895,0.08219178,0.20224719,0.21428572,0.24705882,0.09821428,0.07317073,0.07692308,0.114583336,0.11827957,0.086538464,0.086021505,0.11111111,0.11494253,0.06593407,0.104166664,0.11111111,0.18947369,0.11111111
Tetrahydroxystilbene glucoside,0.093333334,0.07692308,0.01369863,0.053333335,0.025974026,0.051948052,0.18518518,0.078125,0.078125,0.067567565,0.09259259,0.12068965,1.0,0.06666667,0.12962963,0.09259259,0.0862069,0.045454547,0.058139537,0.09375,0.0882353,0.12,0.09259259,0.023809524,0.08955224,0.057142857,0.0,0.17021276,0.083333336,0.08450704,0.08,0.15384616,0.040816326,0.08571429,0.046153847,0.19512194,0.042857144,0.06349207,0.061728396,0.071428575,0.14893617,0.060606062,0.13559322,0.07692308,0.104166664,0.07692308,0.06896552,0.14814815,0.07017544,0.055555556,0.1509434,0.078431375,0.06666667,0.054545455,0.11764706,0.056338027,0.060606062,0.1632653,0.17073171,0.10638298,0.15384616,0.05263158,0.20512821,0.01923077,0.06410257,0.060240965,0.060240965,0.17391305,0.14035088,0.056603774,0.037037037,0.06666667,0.026666667,0.09195402,0.1627907,0.10638298,0.10909091,0.083333336,0.12962963,0.065789476,0.06,0.06779661,0.10638298,0.078431375,0.05882353,0.09090909,0.083333336,0.084745765,0.06329114,0.05479452,0.14285715,0.14516129,0.07462686,0.038961038,0.064935066,0.12,0.03846154,0.03846154,0.11940298,0.12676056,0.09859155,0.08928572,0.114285715,0.14035088,0.10144927,0.051948052,0.072463766,0.05154639,0.054347824,0.052083332,0.03508772,0.09210526,0.056818184,0.05154639,0.06451613,0.028571429,0.054945055,0.11764706,0.10843374,0.057471264,0.062068965,0.029411765,0.048543688,0.041666668
Calendulin,0.13157895,0.11392405,0.114285715,0.1369863,0.12162162,0.14864865,0.07936508,0.140625,0.15873016,0.09210526,0.125,0.15,0.06666667,1.0,0.06557377,0.125,0.11666667,0.17741935,0.09195402,0.104477614,0.06849315,0.071428575,0.125,0.02173913,0.14925373,0.14705883,0.13043478,0.07272727,0.07692308,0.125,0.18367347,0.08219178,0.1,0.14285715,0.125,0.06,0.203125,0.092307694,0.1392405,0.084745765,0.054545455,0.0882353,0.092307694,0.11111111,0.11764706,0.045454547,0.08196721,0.08196721,0.083333336,0.06666667,0.083333336,0.11320755,0.13333334,0.12727273,0.07692308,0.053333335,0.13846155,0.07017544,0.083333336,0.09803922,0.084745765,0.14285715,0.0625,0.036363635,0.0875,0.13580246,0.13580246,0.074074075,0.13114753,0.15384616,0.09090909,0.07936508,0.14084508,0.15116279,0.05882353,0.07692308,0.10169491,0.0952381,0.10169491,0.13333334,0.09615385,0.09836066,0.09803922,0.11320755,0.10144927,0.086419754,0.078947365,0.046153847,0.086419754,0.125,0.08235294,0.056338027,0.13432837,0.15068494,0.102564104,0.11111111,0.115384616,0.115384616,0.097222224,0.07692308,0.078947365,0.06557377,0.064935066,0.06153846,0.08108108,0.08974359,0.083333336,0.08163265,0.086021505,0.082474224,0.0990991,0.074074075,0.08988764,0.11578947,0.095744684,0.08737864,0.11111111,0.07608695,0.09090909,0.07865169,0.08219178,0.068627454,0.07692308,0.08219178
Honokiol,0.077922076,0.08974359,0.056338027,0.038961038,0.05263158,0.03797468,0.16071428,0.07692308,0.060606062,0.05263158,0.11111111,0.08196721,0.12962963,0.06557377,1.0,0.09090909,0.084745765,0.07692308,0.0952381,0.12698413,0.15384616,0.1875,0.09090909,0.023255814,0.0882353,0.08695652,0.0,0.14285715,0.104166664,0.13043478,0.057692308,0.1875,0.019607844,0.14925373,0.078125,0.1627907,0.0882353,0.15254237,0.04819277,0.17307693,0.17021276,0.18333334,0.13333334,0.09615385,0.10204082,0.048780486,0.18867925,0.16666667,0.16981132,0.1,0.1923077,0.14285715,0.14035088,0.11320755,0.14705883,0.08571429,0.14516129,0.20833333,0.13953489,0.1521739,0.17307693,0.12962963,0.2,0.018867925,0.15068494,0.047058824,0.047058824,0.19565217,0.15789473,0.14,0.0754717,0.18181819,0.02631579,0.04347826,0.275,0.08163265,0.14814815,0.15789473,0.21568628,0.078947365,0.125,0.12280702,0.1521739,0.09803922,0.12307692,0.13333334,0.12857144,0.031746034,0.118421055,0.09859155,0.15584415,0.125,0.057971016,0.051948052,0.12162162,0.09615385,0.03773585,0.03773585,0.13432837,0.125,0.16176471,0.10714286,0.14492753,0.13793103,0.13235295,0.051282052,0.10294118,0.04040404,0.04255319,0.040816326,0.034782607,0.10526316,0.11904762,0.04040404,0.13636364,0.028301887,0.08988764,0.14285715,0.056818184,0.09411765,0.033333335,0.039215688,0.03809524,0.04109589
Embelin,0.08,0.10666667,0.042857144,0.06849315,0.054054055,0.06666667,0.10526316,0.0625,0.0625,0.054054055,0.7058824,0.084745765,0.09259259,0.125,0.09090909,1.0,0.6756757,0.114754096,0.05882353,0.11290322,0.08955224,0.34146342,1.0,0.23529412,0.09090909,0.10606061,0.02173913,0.125,0.0625,0.07042254,0.08163265,0.121212125,0.041666668,0.11940298,0.046875,0.11627907,0.125,0.118644066,0.07594936,0.11320755,0.104166664,0.11290322,0.118644066,0.5277778,0.083333336,0.1388889,0.10909091,0.10909091,0.11111111,0.041666668,0.13207547,0.14893617,0.10526316,0.14,0.121212125,0.04225352,0.13114753,0.14285715,0.11904762,0.1590909,0.11320755,0.15686275,0.15,0.083333336,0.093333334,0.074074075,0.074074075,0.104166664,0.20754717,0.17021276,0.12244898,0.10526316,0.08571429,0.093023255,0.13953489,0.08510638,0.13207547,0.06666667,0.15384616,0.08108108,0.13043478,0.06896552,0.1590909,0.125,0.092307694,0.10666667,0.05479452,0.06779661,0.050632913,0.08571429,0.074074075,0.09375,0.07575758,0.08219178,0.0945946,0.14583333,0.08163265,0.08163265,0.0882353,0.08219178,0.1,0.09090909,0.1,0.10344828,0.11940298,0.08108108,0.10606061,0.041237112,0.04347826,0.041666668,0.054054055,0.10810811,0.0952381,0.07446808,0.08888889,0.03883495,0.09195402,0.093023255,0.083333336,0.07058824,0.040816326,0.04,0.03883495,0.057142857
5-O-methyl-Embelin,0.08974359,0.101265825,0.04054054,0.064935066,0.051282052,0.06329114,0.09836066,0.05882353,0.05882353,0.078947365,0.55,0.07936508,0.0862069,0.11666667,0.084745765,0.6756757,1.0,0.10769231,0.093023255,0.12307692,0.14925373,0.31111112,0.6756757,0.21052632,0.08571429,0.1,0.02,0.18367347,0.057692308,0.06666667,0.0754717,0.2,0.03846154,0.112676054,0.092307694,0.13043478,0.11764706,0.16666667,0.072289154,0.10526316,0.11764706,0.15873016,0.16666667,0.475,0.07692308,0.125,0.10169491,0.10169491,0.10344828,0.08219178,0.18518518,0.18367347,0.09836066,0.12962963,0.10810811,0.083333336,0.17741935,0.15384616,0.10869565,0.14583333,0.16666667,0.21153846,0.13636364,0.09803922,0.088607594,0.07058824,0.07058824,0.09615385,0.19298245,0.15686275,0.18,0.09836066,0.08108108,0.08888889,0.12765957,0.1,0.12280702,0.0625,0.14285715,0.07692308,0.12,0.06451613,0.14583333,0.115384616,0.08695652,0.14473684,0.051948052,0.06349207,0.04819277,0.08108108,0.083333336,0.104477614,0.071428575,0.077922076,0.103896104,0.13461539,0.0754717,0.0754717,0.083333336,0.09210526,0.0945946,0.10344828,0.125,0.114754096,0.112676054,0.10526316,0.1,0.05,0.05263158,0.05050505,0.06140351,0.116883114,0.12941177,0.082474224,0.12087912,0.047169812,0.125,0.101123594,0.09195402,0.06741573,0.046666667,0.03846154,0.047169812,0.06849315
Tanshinone IIA,0.09638554,0.10714286,0.077922076,0.11392405,0.1,0.11111111,0.073529415,0.18181819,0.21875,0.086419754,0.13333334,0.0882353,0.045454547,0.17741935,0.07692308,0.114754096,0.10769231,1.0,0.07526882,0.12857144,0.077922076,0.083333336,0.114754096,0.019607844,0.17142858,0.16901408,0.11764706,0.084745765,0.033898305,0.116883114,0.14545454,0.07692308,0.03448276,0.118421055,0.11594203,0.074074075,0.5769231,0.15151516,0.10465116,0.15,0.06779661,0.14492753,0.10144927,0.12068965,0.16981132,0.040816326,0.14516129,0.092307694,0.09375,0.118421055,0.09375,0.10344828,0.12307692,0.13559322,0.06818182,0.12,0.14492753,0.08196721,0.09615385,0.12962963,0.0952381,0.16949153,0.056603774,0.033333335,0.0952381,0.10227273,0.10227273,0.0862069,0.13846155,0.16071428,0.12068965,0.10606061,0.13157895,0.11827957,0.05357143,0.08928572,0.14754099,0.0882353,0.12903225,0.125,0.0877193,0.07462686,0.12962963,0.12280702,0.10958904,0.09411765,0.074074075,0.073529415,0.08139535,0.088607594,0.07777778,0.06666667,0.0945946,0.1125,0.1097561,0.06557377,0.125,0.125,0.09090909,0.085365854,0.115384616,0.060606062,0.074074075,0.057142857,0.103896104,0.084337346,0.06410257,0.067307696,0.07070707,0.067961164,0.08547009,0.10843374,0.07368421,0.121212125,0.08,0.06363636,0.09375,0.072164945,0.10989011,0.086021505,0.0794702,0.055555556,0.06363636,0.06329114
Magnolol,0.07619048,0.06481481,0.05,0.057692308,0.04761905,0.056603774,0.07954545,0.06382979,0.05263158,0.067961164,0.05882353,0.09090909,0.058139537,0.09195402,0.0952381,0.05882353,0.093023255,0.07526882,1.0,0.10989011,0.15384616,0.101265825,0.05882353,0.01369863,0.10638298,0.10526316,0.053333335,0.13157895,0.0375,0.18681319,0.08974359,0.17777778,0.051282052,0.15053764,0.26923078,0.09589041,0.083333336,0.12643678,0.054054055,0.083333336,0.103896104,0.16091955,0.18072289,0.04819277,0.10526316,0.013888889,0.09411765,0.10714286,0.10843374,0.20224719,0.17948718,0.14666666,0.15853658,0.09876543,0.078125,0.17777778,0.1882353,0.086419754,0.08219178,0.077922076,0.18181819,0.12345679,0.083333336,0.012048192,0.14,0.053097345,0.053097345,0.103896104,0.09090909,0.0875,0.16,0.10465116,0.06930693,0.07692308,0.125,0.050632913,0.08235294,0.18518518,0.08235294,0.06666667,0.09090909,0.13253012,0.09210526,0.075,0.13186814,0.19791667,0.18478261,0.021505376,0.1734694,0.125,0.14423077,0.09677419,0.06185567,0.11,0.13,0.06097561,0.036585364,0.036585364,0.12765957,0.11,0.1010101,0.0952381,0.1122449,0.09090909,0.10309278,0.08737864,0.09375,0.064,0.06666667,0.06451613,0.06428572,0.11764706,0.14814815,0.07258064,0.13043478,0.061068702,0.17592593,0.10526316,0.078947365,0.09821428,0.06321839,0.0625,0.061068702,0.04950495
Imperatorin,0.08235294,0.13253012,0.06329114,0.072289154,0.05952381,0.07058824,0.17460318,0.112676054,0.097222224,0.085365854,0.11290322,0.15384616,0.09375,0.104477614,0.12698413,0.11290322,0.12307692,0.12857144,0.10989011,1.0,0.13513513,0.13793103,0.11290322,0.039215688,0.077922076,0.10526316,0.035714287,0.14035088,0.14814815,0.115384616,0.06666667,0.16438356,0.05172414,0.22857143,0.09859155,0.13461539,0.15277778,0.16666667,0.07865169,0.14754099,0.14285715,0.1764706,0.24193548,0.1,0.10526316,0.06122449,0.16129032,0.18032786,0.16393442,0.13157895,0.18333334,0.18181819,0.13846155,0.1724138,0.09090909,0.103896104,0.1594203,0.13559322,0.115384616,0.12727273,0.16666667,0.16666667,0.09615385,0.05,0.12048193,0.07692308,0.07692308,0.14285715,0.22950819,0.15789473,0.13793103,0.15625,0.06097561,0.12903225,0.13207547,0.0877193,0.14516129,0.11940298,0.16393442,0.1097561,0.18867925,0.10606061,0.1923077,0.14035088,0.10810811,0.16049382,0.1,0.072463766,0.093023255,0.115384616,0.12643678,0.14084508,0.064935066,0.084337346,0.13580246,0.118644066,0.06666667,0.06666667,0.13333334,0.16883117,0.17333333,0.12698413,0.14285715,0.11940298,0.14666666,0.1097561,0.15068494,0.10891089,0.114583336,0.11,0.075630255,0.14814815,0.15730338,0.12,0.2247191,0.09259259,0.13978495,0.14130434,0.10869565,0.12087912,0.10067114,0.07476635,0.10280374,0.118421055
Licochalcone A,0.06666667,0.07692308,0.03529412,0.06896552,0.056818184,0.06741573,0.2580645,0.09210526,0.10666667,0.12048193,0.08955224,0.112676054,0.0882353,0.06849315,0.15384616,0.08955224,0.14925373,0.077922076,0.15384616,0.13513513,1.0,0.16666667,0.08955224,0.017857144,0.101265825,0.11392405,0.016393442,0.2777778,0.13793103,0.12345679,0.0625,0.21917808,0.031746034,0.16883117,0.1388889,0.23529412,0.06097561,0.20895523,0.06382979,0.17460318,0.23636363,0.25373134,0.17391305,0.07692308,0.06349207,0.056603774,0.1875,0.11764706,0.1904762,0.125,0.31578946,0.25454545,0.1641791,0.16129032,0.18181819,0.12658228,0.18309858,0.20338982,0.16981132,0.118644066,0.32142857,0.19354838,0.1509434,0.03076923,0.12790698,0.0625,0.0625,0.21428572,0.12857144,0.14754099,0.18644068,0.14705883,0.09638554,0.048076924,0.12280702,0.13793103,0.15384616,0.112676054,0.11940298,0.06741573,0.11666667,0.1,0.118644066,0.13114753,0.14666666,0.19512194,0.0952381,0.083333336,0.101123594,0.09638554,0.1724138,0.18055555,0.088607594,0.06818182,0.11627907,0.060606062,0.0625,0.0625,0.17105263,0.13253012,0.13580246,0.13636364,0.17948718,0.12857144,0.09756097,0.09195402,0.086419754,0.074074075,0.0776699,0.08490566,0.056,0.14117648,0.16304348,0.094339624,0.15306123,0.042735044,0.15789473,0.14736842,0.0927835,0.07070707,0.070063695,0.08181818,0.07017544,0.085365854
Hexylresorcinol,0.09859155,0.08108108,0.04477612,0.056338027,0.041666668,0.06944445,0.1764706,0.083333336,0.06557377,0.056338027,0.375,0.08928572,0.12,0.071428575,0.1875,0.34146342,0.31111112,0.083333336,0.101265825,0.13793103,0.16666667,1.0,0.34146342,0.2580645,0.0952381,0.09375,0.023255814,0.21428572,0.06666667,0.19672132,0.08695652,0.16393442,0.044444446,0.18032786,0.084745765,0.21621622,0.0952381,0.18867925,0.078947365,0.19148937,0.2820513,0.2,0.14545454,0.33333334,0.06521739,0.11764706,0.20833333,0.13725491,0.21276596,0.10769231,0.1875,0.21428572,0.2,0.2,0.25925925,0.092307694,0.17857143,0.29268292,0.15789473,0.14285715,0.16666667,0.16666667,0.2647059,0.06521739,0.14492753,0.07692308,0.07692308,0.1627907,0.1509434,0.20930232,0.083333336,0.1764706,0.042857144,0.058139537,0.24324325,0.09090909,0.14,0.17307693,0.1632653,0.06944445,0.13953489,0.15686275,0.17073171,0.13333334,0.13333334,0.1594203,0.13846155,0.05263158,0.12676056,0.12307692,0.10526316,0.15517241,0.046153847,0.055555556,0.14705883,0.083333336,0.041666668,0.041666668,0.109375,0.08571429,0.15625,0.1632653,0.19354838,0.17307693,0.125,0.06944445,0.11111111,0.04255319,0.04494382,0.043010753,0.055555556,0.112676054,0.12658228,0.04255319,0.10465116,0.04,0.12195122,0.12345679,0.07317073,0.07317073,0.03448276,0.030612245,0.04,0.04411765
3-decyl-2-5-dihydroxy-benzoquinone,0.08,0.10666667,0.042857144,0.06849315,0.054054055,0.06666667,0.10526316,0.0625,0.0625,0.054054055,0.7058824,0.084745765,0.09259259,0.125,0.09090909,1.0,0.6756757,0.114754096,0.05882353,0.11290322,0.08955224,0.34146342,1.0,0.23529412,0.09090909,0.10606061,0.02173913,0.125,0.0625,0.07042254,0.08163265,0.121212125,0.041666668,0.11940298,0.046875,0.11627907,0.125,0.118644066,0.07594936,0.11320755,0.104166664,0.11290322,0.118644066,0.5277778,0.083333336,0.1388889,0.10909091,0.10909091,0.11111111,0.041666668,0.13207547,0.14893617,0.10526316,0.14,0.121212125,0.04225352,0.13114753,0.14285715,0.11904762,0.1590909,0.11320755,0.15686275,0.15,0.083333336,0.093333334,0.074074075,0.074074075,0.104166664,0.20754717,0.17021276,0.12244898,0.10526316,0.08571429,0.093023255,0.13953489,0.08510638,0.13207547,0.06666667,0.15384616,0.08108108,0.13043478,0.06896552,0.1590909,0.125,0.092307694,0.10666667,0.05479452,0.06779661,0.050632913,0.08571429,0.074074075,0.09375,0.07575758,0.08219178,0.0945946,0.14583333,0.08163265,0.08163265,0.0882353,0.08219178,0.1,0.09090909,0.1,0.10344828,0.11940298,0.08108108,0.10606061,0.041237112,0.04347826,0.041666668,0.054054055,0.10810811,0.0952381,0.07446808,0.08888889,0.03883495,0.09195402,0.093023255,0.083333336,0.07058824,0.040816326,0.04,0.03883495,0.057142857
alpha-Arbutin,0.048387095,0.03076923,0.036363635,0.016393442,0.033333335,0.015873017,0.044444446,0.04,0.019607844,0.0,0.23529412,0.04347826,0.023809524,0.02173913,0.023255814,0.23529412,0.21052632,0.019607844,0.01369863,0.039215688,0.017857144,0.2580645,0.23529412,1.0,0.018181818,0.017857144,0.033333335,0.027027028,0.060606062,0.016949153,0.027777778,0.054545455,0.030303031,0.03508772,0.02,0.0,0.037037037,0.020408163,0.029850746,0.0,0.0,0.01923077,0.020408163,0.21875,0.0,0.13636364,0.0,0.022727273,0.0,0.01724138,0.04761905,0.027027028,0.0,0.025,0.0,0.01754386,0.01923077,0.025641026,0.0,0.0,0.023809524,0.023809524,0.03448276,0.09090909,0.0,0.028985508,0.028985508,0.0,0.04347826,0.02631579,0.02631579,0.0,0.016949153,0.02631579,0.03125,0.029411765,0.0,0.0,0.023255814,0.032258064,0.028571429,0.022222223,0.029411765,0.055555556,0.018518519,0.03076923,0.0,0.044444446,0.0,0.016949153,0.014285714,0.018867925,0.0,0.016129032,0.015625,0.02631579,0.027777778,0.027777778,0.0,0.0,0.016666668,0.023255814,0.016666668,0.021276595,0.01724138,0.032258064,0.017857144,0.024096385,0.025641026,0.024390243,0.02020202,0.015384615,0.027027028,0.011904762,0.025,0.02247191,0.025974026,0.02631579,0.02739726,0.013513514,0.02238806,0.023255814,0.02247191,0.035714287
Carnosic acid,0.17283951,0.15476191,0.115384616,0.21052632,0.16455697,0.20512821,0.06944445,0.12328767,0.17142858,0.12195122,0.09090909,0.14705883,0.08955224,0.14925373,0.0882353,0.09090909,0.08571429,0.17142858,0.10638298,0.077922076,0.101265825,0.0952381,0.09090909,0.018181818,1.0,0.45,0.12962963,0.09677419,0.031746034,0.16883117,0.1754386,0.12820514,0.12280702,0.14102565,0.10958904,0.0877193,0.14666666,0.09589041,0.19277108,0.08955224,0.08064516,0.09210526,0.12676056,0.078125,0.08196721,0.078431375,0.08695652,0.13636364,0.104477614,0.1125,0.121212125,0.13333334,0.11594203,0.109375,0.08510638,0.07317073,0.12162162,0.11111111,0.12962963,0.10169491,0.15873016,0.10606061,0.071428575,0.03125,0.11627907,0.1882353,0.1882353,0.15517241,0.09859155,0.11290322,0.078125,0.11594203,0.15384616,0.1368421,0.10526316,0.083333336,0.13846155,0.09859155,0.104477614,0.16049382,0.118644066,0.11764706,0.10169491,0.09677419,0.13333334,0.08988764,0.083333336,0.08450704,0.08988764,0.11111111,0.13483146,0.07692308,0.14864865,0.12048193,0.09195402,0.0952381,0.09836066,0.09836066,0.15789473,0.13414635,0.083333336,0.072463766,0.09638554,0.06849315,0.09876543,0.105882354,0.101265825,0.0952381,0.1,0.09615385,0.11965812,0.11627907,0.0927835,0.15,0.08737864,0.09009009,0.09,0.10204082,0.12903225,0.09375,0.105960265,0.08256881,0.09009009,0.060240965
Carnosol,0.14285715,0.13953489,0.11392405,0.14814815,0.12048193,0.14457831,0.083333336,0.12162162,0.12162162,0.08139535,0.10606061,0.112676054,0.057142857,0.14705883,0.08695652,0.10606061,0.1,0.16901408,0.10526316,0.10526316,0.11392405,0.09375,0.10606061,0.017857144,0.45,1.0,0.12727273,0.0952381,0.04761905,0.18181819,0.15254237,0.12658228,0.12068965,0.18421052,0.093333334,0.0862069,0.16,0.125,0.13636364,0.121212125,0.07936508,0.12,0.14084508,0.09375,0.09836066,0.037037037,0.11764706,0.15151516,0.13636364,0.09756097,0.10294118,0.11290322,0.18181819,0.14285715,0.083333336,0.072289154,0.15068494,0.092307694,0.0877193,0.118644066,0.104477614,0.121212125,0.07017544,0.03076923,0.14117648,0.13333334,0.13333334,0.09677419,0.112676054,0.12903225,0.09375,0.14705883,0.12345679,0.17204301,0.084745765,0.06451613,0.11940298,0.12857144,0.11940298,0.15853658,0.15517241,0.14925373,0.15789473,0.078125,0.14666666,0.12643678,0.10843374,0.06849315,0.11363637,0.16666667,0.12087912,0.08974359,0.088607594,0.18987341,0.14285715,0.14754099,0.09677419,0.09677419,0.1125,0.13253012,0.10843374,0.08695652,0.0952381,0.08219178,0.1392405,0.10465116,0.12820514,0.115384616,0.121212125,0.116504855,0.118644066,0.12790698,0.12631579,0.1262136,0.10784314,0.08928572,0.14583333,0.09,0.11578947,0.12765957,0.10526316,0.09174312,0.119266056,0.072289154
Eucalyptol,0.11111111,0.09090909,0.12727273,0.11666667,0.11666667,0.13114753,0.019607844,0.09615385,0.09615385,0.06349207,0.02173913,0.08163265,0.0,0.13043478,0.0,0.02173913,0.02,0.11764706,0.053333335,0.035714287,0.016393442,0.023255814,0.02173913,0.033333335,0.12962963,0.12727273,1.0,0.023809524,0.025641026,0.10169491,0.10526316,0.016129032,0.114285715,0.06666667,0.07692308,0.0,0.12962963,0.03773585,0.13846155,0.021276595,0.0,0.035714287,0.03773585,0.023255814,0.051282052,0.0,0.020408163,0.020408163,0.020833334,0.04918033,0.020833334,0.023809524,0.06122449,0.045454547,0.0,0.05,0.074074075,0.0,0.0,0.0,0.021276595,0.04347826,0.0,0.025,0.028985508,0.13432837,0.13432837,0.0,0.01923077,0.04761905,0.023255814,0.019607844,0.12068965,0.10666667,0.0,0.0,0.020833334,0.06,0.020833334,0.13114753,0.025,0.0625,0.025641026,0.023809524,0.05263158,0.05882353,0.04761905,0.019607844,0.05882353,0.048387095,0.04109589,0.05357143,0.05263158,0.114754096,0.060606062,0.04761905,0.05,0.05,0.05,0.030303031,0.04761905,0.06521739,0.04761905,0.06,0.04918033,0.0952381,0.050847456,0.11111111,0.118421055,0.1125,0.104166664,0.04411765,0.03846154,0.09756097,0.04819277,0.10344828,0.05,0.050632913,0.11111111,0.038961038,0.067669176,0.10714286,0.10344828,0.06779661
